emp_no,first_name,last_name,dept_name
10001,Georgi,Facello,Sales
10004,Chirstian,Koblick,Sales
10009,Sumant,Peac,Sales
10018,Kazuhide,Peha,Sales
10018,Kazuhide,Peha,Sales
10035,Alain,Chappelet,Sales
10053,Sanjiv,Zschoche,Sales
10058,Berhard,McFarlin,Sales
10066,Kwee,Schusler,Sales
10067,Claudi,Stavenow,Sales
10070,Reuven,Garigliano,Sales
10070,Reuven,Garigliano,Sales
10072,Hironoby,Sidou,Sales
10076,Erez,Ritzmann,Sales
10088,Jungsoon,Syrzycki,Sales
10088,Jungsoon,Syrzycki,Sales
10100,Hironobu,Haraldson,Sales
10103,Akemi,Birch,Sales
10108,Lunjin,Giveon,Sales
10108,Lunjin,Giveon,Sales
10116,Dayanand,Czap,Sales
10116,Dayanand,Czap,Sales
10126,Kayoko,Valtorta,Sales
10129,Armond,Peir,Sales
10130,Nishit,Casperson,Sales
10134,Diederik,Siprelle,Sales
10134,Diederik,Siprelle,Sales
10138,Perry,Shimshoni,Sales
10149,Xiadong,Perry,Sales
10150,Zhenbing,Perng,Sales
10152,Jaques,Munro,Sales
10153,Heekeun,Majewski,Sales
10157,Nigel,Aloisi,Sales
10161,Hairong,Mellouli,Sales
10186,Shigehito,Kropatsch,Sales
10198,Pranav,Furedi,Sales
10215,Xiaobin,Duclos,Sales
10217,Yongmin,Roison,Sales
10224,Leon,Trogemann,Sales
10229,Ulises,Takanami,Sales
10233,Lein,Vendrig,Sales
10258,Basil,Ishibashi,Sales
10272,Yishai,Cannane,Sales
10282,Hercules,Benzmuller,Sales
10283,Kauko,Birjandi,Sales
10286,Saddek,Gopalakrishnan,Sales
10302,Faiza,Baer,Sales
10305,Hirochika,Piancastelli,Sales
10326,Masali,Czap,Sales
10327,Roded,Facello,Sales
10327,Roded,Facello,Sales
10340,Djelloul,Laventhal,Sales
10347,Pradeep,Kaminger,Sales
10355,Satyanarayana,Cochrane,Sales
10356,Vasilis,Standera,Sales
10363,Toshiki,Muniz,Sales
10363,Toshiki,Muniz,Sales
10364,Nakhoon,Dengi,Sales
10372,Anneli,Frijda,Sales
10387,Parto,Wrigley,Sales
10395,Takahiro,Deverell,Sales
10396,Sibyl,Rahier,Sales
10402,Volkmar,Ebeling,Sales
10404,Prodip,Rosti,Sales
10426,Arunas,Luce,Sales
10429,Martien,Improta,Sales
10432,Hisao,Tiemann,Sales
10442,Volkmar,Unno,Sales
10451,Bodh,Ranta,Sales
10453,Tsvetan,Matzel,Sales
10463,Ung,Zaiane,Sales
10466,Jiakeng,Himler,Sales
10486,Amstein,Kossowski,Sales
10494,Yakkov,Servieres,Sales
10504,Xiong,Varker,Sales
10512,Udi,Gihr,Sales
10519,Yonghoan,Alencar,Sales
10519,Yonghoan,Alencar,Sales
